Date,Open,High,Low,Close,Adj Close,Volume
19-08-2004,50.050049,52.082081,48.028027,50.220219,50.220219,44659096
20-08-2004,50.555557,54.594597,50.300301,54.209209,54.209209,22834343
23-08-2004,55.430431,56.796799,54.579578,54.754753,54.754753,18256126
24-08-2004,55.675674,55.855858,51.836838,52.487488,52.487488,15247337
25-08-2004,52.532532,54.054054,51.991993,53.053055,53.053055,9188602
26-08-2004,52.527527,54.02903,52.382381,54.00901,54.00901,7094898
27-08-2004,54.104103,54.364365,52.8979,53.128128,53.128128,6211782
30-08-2004,52.692692,52.797798,51.056057,51.056057,51.056057,5196798
31-08-2004,51.201202,51.906906,51.13113,51.236237,51.236237,4917877
01-09-2004,51.401402,51.536537,49.884884,50.175175,50.175175,9138253
02-09-2004,49.644646,51.236237,49.51952,50.805805,50.805805,15118666
03-09-2004,50.525524,50.920921,49.709709,50.055054,50.055054,5152442
07-09-2004,50.555557,51.051052,49.854855,50.840839,50.840839,5847547
08-09-2004,50.420422,51.566566,50.300301,51.201202,51.201202,4985609
09-09-2004,51.316315,51.406406,50.550552,51.206207,51.206207,4061734
10-09-2004,50.850849,53.333332,50.700703,52.717716,52.717716,8698892
13-09-2004,53.368366,54.259258,53.283283,53.803802,53.803802,7844148
14-09-2004,53.778778,56.056057,53.448448,55.8008,55.8008,10828960
15-09-2004,55.335335,57.172173,55.155155,56.056057,56.056057,10713076
16-09-2004,56.226227,57.957958,55.880882,57.042042,57.042042,9266324
17-09-2004,57.267265,58.803802,56.831833,58.803802,58.803802,9472518
20-09-2004,58.533535,60.860863,58.443443,59.739738,59.739738,10628761
21-09-2004,59.964966,60.270271,58.813812,58.978977,58.978977,7228764
22-09-2004,58.758759,59.894894,58.463463,59.249249,59.249249,7581211
23-09-2004,59.479481,61.376377,58.568569,60.47047,60.47047,8535656
24-09-2004,60.530533,62.11211,59.939941,59.974976,59.974976,9123467
27-09-2004,59.83984,60.5005,58.958958,59.18919,59.18919,7066127
28-09-2004,60.710712,63.763763,60.165165,63.493492,63.493492,16929054
29-09-2004,63.413414,67.577576,63.178177,65.605606,65.605606,30516453
30-09-2004,65.015015,66.216217,64.564568,64.864868,64.864868,13758028
01-10-2004,65.465462,67.187187,64.514519,66.356354,66.356354,15124860
04-10-2004,67.692696,68.503502,67.082085,67.597595,67.597595,13022764
05-10-2004,67.3974,69.334335,66.186188,69.254257,69.254257,14973212
06-10-2004,68.843842,69.294296,68.068069,68.608612,68.608612,13381405
07-10-2004,68.528526,70.01001,68.343346,69.494492,69.494492,14115071
